iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-19T14:18:27.086Z,2,8.0,1.8,11.1
2026-09-19T14:18:47.146Z,2,6.6,1.8,13.7
2026-09-19T14:19:07.213Z,2,6.3,1.8,14.3
2026-09-19T14:19:27.344Z,1,8.1,1.8,11.0
2026-09-19T14:19:47.366Z,2,6.5,1.8,14.0
2026-09-19T14:20:07.382Z,1,19.2,1.8,4.3
2026-09-19T14:20:27.454Z,1,11.2,1.8,4.9
2026-09-19T14:20:47.478Z,2,6.6,1.8,13.8
2026-09-19T14:21:07.563Z,1,8.2,1.8,10.7
2026-09-19T14:21:27.611Z,1,9.4,1.8,8.4
2026-09-19T14:21:47.741Z,1,7.2,1.8,12.6
2026-09-19T14:22:07.791Z,2,7.6,1.8,11.9
2026-09-19T14:22:27.868Z,1,8.6,1.8,9.9
2026-09-19T14:22:47.959Z,1,7.6,1.8,11.9
2026-09-19T14:23:08.055Z,1,7.3,1.8,12.7
2026-09-19T14:23:28.093Z,2,6.5,1.8,13.9
2026-09-19T14:23:48.198Z,2,6.9,1.8,13.1
2026-09-19T14:24:08.265Z,2,6.6,1.8,13.8
2026-09-19T14:24:28.511Z,2,6.0,1.8,15.4
2026-09-19T14:24:48.627Z,2,5.8,2.0,15.5
2026-09-19T14:25:08.647Z,1,19.5,2.0,4.4
2026-09-19T14:25:28.740Z,1,10.7,2.0,6.1
2026-09-19T14:25:48.788Z,1,9.6,2.0,10.0
2026-09-19T14:26:08.818Z,1,8.7,2.0,11.0
2026-09-19T14:26:28.876Z,1,9.2,2.0,10.4
2026-09-19T14:26:48.953Z,1,8.6,2.0,11.1
2026-09-19T14:27:09.026Z,1,9.1,2.0,9.3
2026-09-19T14:27:29.192Z,1,7.2,1.9,12.8
2026-09-19T14:27:49.260Z,2,6.7,1.9,13.8
2026-09-19T14:28:09.352Z,1,7.3,1.9,12.6
2026-09-19T14:28:29.399Z,1,9.8,1.9,8.0
2026-09-19T14:28:49.438Z,1,7.7,1.9,11.9
2026-09-19T14:29:09.588Z,1,9.2,1.9,9.0
2026-09-19T14:29:29.641Z,1,19.7,1.9,4.4
2026-09-19T14:29:49.684Z,1,9.1,1.9,9.1
2026-09-19T14:30:09.745Z,1,10.7,1.9,7.7
2026-09-19T14:30:29.815Z,1,7.9,1.9,11.4
2026-09-19T14:30:49.953Z,1,7.6,1.9,12.1
2026-09-19T14:31:10.027Z,2,6.6,1.9,14.0
2026-09-19T14:31:30.114Z,2,6.5,1.9,14.1
2026-09-19T14:31:50.206Z,1,8.8,1.9,9.8
2026-09-19T14:32:10.249Z,1,7.6,1.9,12.1
2026-09-19T14:32:30.342Z,1,7.5,1.9,12.3
2026-09-19T14:32:50.419Z,2,6.9,1.9,13.4
2026-09-19T14:33:10.495Z,1,8.1,1.9,11.1
2026-09-19T14:33:30.517Z,1,22.0,1.9,4.5
2026-09-19T14:33:50.606Z,1,18.0,1.9,4.3
2026-09-19T14:34:10.729Z,1,8.4,1.9,10.4
2026-09-19T14:34:30.775Z,1,9.8,1.9,7.9
2026-09-19T14:34:50.848Z,1,7.4,1.9,12.4
2026-09-19T14:35:10.947Z,1,9.2,1.9,10.7
2026-09-19T14:35:30.986Z,1,7.7,1.9,11.8
2026-09-19T14:35:51.035Z,1,8.3,1.9,10.7
2026-09-19T14:36:11.096Z,1,9.4,1.9,8.6
2026-09-19T14:36:31.149Z,1,8.6,1.9,10.2
2026-09-19T14:36:51.267Z,1,7.8,1.9,11.7
2026-09-19T14:37:11.347Z,1,7.6,1.9,12.0
2026-09-19T14:37:31.475Z,2,6.7,1.9,13.8
2026-09-19T14:37:51.492Z,1,22.7,1.9,4.8
